type,supplement_id,condition_id,url
INDICATED_FOR,calcium,diabetes,
INDICATED_FOR,calcium,hypertension,
INDICATED_FOR,calcium,cancer,
INDICATED_FOR,calcium,inflammation,
INDICATED_FOR,calcium,cerebrovascular-accident,
INDICATED_FOR,calcium,cardiovascular-disease,
INDICATED_FOR,calcium,bone-health,
PREVENTS,calcium,colorectal-cancer,
PREVENTS,calcium,type-2-diabetes,
PREVENTS,calcium,hypertension,
HELPS_WITH,calcium,bone-mineral-density,
HELPS_WITH,calcium,cholesterol-levels,
MANAGES,calcium,premenstrual-syndrome,
INDICATED_FOR,calcium,renal-disease,
TREATS,calcium,alcohol-withdrawal-symptoms,
TREATS_DEFICIENCY,iron,iron-deficiency-anemia,
TREATS_DEFICIENCY,iron,of-deficiency,
INDICATED_FOR,iron,anemia,
INDICATED_FOR,iron,iron-deficiency-anemia,
HELPS_WITH,iron,adhd,
RELIEVES,iron,cough-induced-by-ace-inhibitors,
MANAGES,iron,pregnancy,
TREATS_DEFICIENCY,magnesium,magnesium-deficiency,
TREATS_DEFICIENCY,magnesium,of-deficiency,
INDICATED_FOR,magnesium,diabetes,
INDICATED_FOR,magnesium,hypertension,
INDICATED_FOR,magnesium,osteoporosis,
INDICATED_FOR,magnesium,depression,
INDICATED_FOR,magnesium,tumor,
INDICATED_FOR,magnesium,inflammation,
INDICATED_FOR,magnesium,asthma,
INDICATED_FOR,magnesium,migraine,
INDICATED_FOR,magnesium,heart-failure,
INDICATED_FOR,magnesium,heart-disease,
INDICATED_FOR,magnesium,cerebrovascular-accident,
INDICATED_FOR,magnesium,cardiovascular-disease,
RELIEVES_SYMPTOM,magnesium,pain,
RELIEVES_SYMPTOM,magnesium,diarrhea,
RELIEVES_SYMPTOM,magnesium,headache,
RELIEVES_SYMPTOM,magnesium,weakness,
RELIEVES_SYMPTOM,magnesium,insomnia,
RELIEVES_SYMPTOM,magnesium,muscle-weakness,
RELIEVES,magnesium,migraine-headaches,
RELIEVES,magnesium,postoperative-pain,
RELIEVES,magnesium,neuropathic-pain,
RELIEVES,magnesium,raynauds-phenomenon,
PREVENTS,magnesium,inflammatory-processes,
HELPS_WITH,magnesium,type-2-diabetes,
HELPS_WITH,magnesium,metabolic-syndrome,
MANAGES,magnesium,hypertension,
RELIEVES,magnesium,arrhythmias,
HELPS_WITH,magnesium,premenstrual-syndrome-pms,
HELPS_WITH,magnesium,insomnia,
PREVENTS,magnesium,noiseinduced-hearing-loss,
PREVENTS,magnesium,renal-stone-formation,
TREATS_DEFICIENCY,magnesium,osteoporosis,
TREATS_DEFICIENCY,selenium,selenium-deficiency,
TREATS_DEFICIENCY,selenium,severe-deficiency,
TREATS_DEFICIENCY,selenium,that-deficiency,
INDICATED_FOR,selenium,arthritis,
INDICATED_FOR,selenium,diabetes,
INDICATED_FOR,selenium,depression,
INDICATED_FOR,selenium,anxiety,
INDICATED_FOR,selenium,cancer,
INDICATED_FOR,selenium,tumor,
INDICATED_FOR,selenium,inflammation,
INDICATED_FOR,selenium,infection,
INDICATED_FOR,selenium,alzheimer,
INDICATED_FOR,selenium,dementia,
INDICATED_FOR,selenium,cardiovascular-disease,
PREVENTS,selenium,prostate-cancer,
PREVENTS,selenium,colorectal-cancer,
PREVENTS,selenium,breast-cancer,
MANAGES,selenium,ovarian-cancer,
HELPS_WITH,selenium,arthritis,
TREATS_DEFICIENCY,selenium,keshan-disease,
TREATS_DEFICIENCY,selenium,hypothyroidism,
HELPS_WITH,selenium,aids,
RELIEVES_SYMPTOM,selenium,depression,
MANAGES,selenium,oxidative-stress,
TREATS,vitamin-a,deficiency-in-developing-countries-10558,
TREATS_DEFICIENCY,vitamin-a,deficiency,
TREATS_DEFICIENCY,vitamin-a,treat-deficiency,
TREATS_DEFICIENCY,vitamin-a,retinol-deficiency,
INDICATED_FOR,vitamin-a,osteoporosis,
INDICATED_FOR,vitamin-a,anemia,
INDICATED_FOR,vitamin-a,depression,
INDICATED_FOR,vitamin-a,cancer,
INDICATED_FOR,vitamin-a,tumor,
INDICATED_FOR,vitamin-a,inflammation,
INDICATED_FOR,vitamin-a,infection,
RELIEVES_SYMPTOM,vitamin-a,fatigue,
INDICATED_FOR,vitamin-a,vitamin-a-deficiency,
PREVENTS,vitamin-a,cancer,
RELIEVES,vitamin-a,cancer-cell-growth,
MANAGES,vitamin-a,osteoporosis,
INDICATED_FOR,vitamin-a,follicular-hyperkeratosis,
PREVENTS,vitamin-a,anemia,
HELPS_WITH,vitamin-a,immune-function,
HELPS_WITH,vitamin-a,neural-development,
RELIEVES_SYMPTOM,vitamin-a,night-blindness,
HELPS_WITH,vitamin-a,wound-healing,
TREATS_DEFICIENCY,vitamin-b12,folate-deficiency,
